软件名,官方主页,下载直链,该软件功能与描述
"Python 3.13","https://www.python.org/downloads/","https://www.python.org/ftp/python/3.13.15/python-3.13.15-amd64.exe","Python 官方解释器，当前 3.13 系列最新补丁版为 3.13.15。初学者装 Python 最容易踩两个坑：一是从下载站装到带全家桶的二渠道包，二是安装时没勾 “Add python.exe to PATH”，导致后面命令行敲 python 找不到。官方安装包第一屏就有这个勾选框，务必勾上。安装完在命令行执行 python --version 验证。"
"Visual Studio Code","https://code.visualstudio.com","https://update.code.visualstudio.com/latest/win32-x64-archive/stable","微软出品的轻量代码编辑器，当前稳定版 1.137.0，几乎是 Python / 前端 / 写作的默认选择。这个直链是微软官方的版本无关地址，永远指向最新 stable，不会随更新失效。装好后在扩展市场搜 “Chinese (Simplified)” 语言包可切中文界面。注意以 “VSCode 中国版 / 加速版 / 汉化版” 为名的发行版都不是官方，会预装插件并篡改扩展市场源。"
"Steam","https://store.steampowered.com","https://cdn.cloudflare.steamstatic.com/client/installer/SteamSetup.exe","Valve 的游戏平台与客户端。这个 exe 只有约 2MB，是在线安装器，运行后会再从官方服务器拉取完整客户端，所以下载快、也不会装到旧版本。请只从 steampowered.com 或这个 steamstatic.com 官方 CDN 获取，第三方 “Steam 管家 / 国服启动器” 会接管你的账号登录。"
"Visual Studio Community","https://visualstudio.microsoft.com/","https://aka.ms/vs/17/release/vs_community.exe","微软的完整 IDE，C++ / C# / .NET 开发的主选。Community 版对个人、开源、教学和小团队免费。这个 aka.ms 短链是微软官方的版本无关地址，始终指向 Visual Studio 2022 社区版最新启动器。它本身只有几 MB，真正的组件在安装时按你勾选的工作负载下载，请预留磁盘与时间。注意与 VS Code 是两个完全不同的产品，别混着搜。"
"PyCharm Community","https://www.jetbrains.com/pycharm/","https://www.jetbrains.com/pycharm/download/","JetBrains 的 Python 专用 IDE，代码补全、重构、调试和虚拟环境管理都很扎实。Community 版免费且足够学 Python 用，Professional 版才带 Web 框架与数据库工具。下载页要选对 Community，很多人误下了试用版 Professional。JetBrains 全家桶对学生免费，用学校邮箱申请 JetBrains 教育授权即可。"
"IntelliJ IDEA Community","https://www.jetbrains.com/idea/","https://www.jetbrains.com/idea/download/","Java 开发的主流 IDE，Community 版免费，支持 Java / Kotlin / Android 基础开发。学 Java 的同学常搜到 “IntelliJ IDEA 中文官网” 一类站点，那些都不是官方。JetBrains 教育授权同样覆盖这款产品。"
"Qoder","https://qoder.com/","https://qoder.com/download","阿里的 AI 编程智能体产品，主打让 AI 自主完成跨文件的编码任务。下载页区分不同产品线，注意看清你要的是 IDE 还是配套的 Agent 应用，二者安装包不同。作为国产工具，网络连通性和文档都是中文友好，适合不想折腾代理的初学者。"
"Trae","https://www.trae.ai/","https://www.trae.ai/download","字节的 AI IDE，基于 VS Code 内核，所以 VS Code 的插件和快捷键习惯基本可以延续，对初学者上手成本低。国内版和国际版分属不同域名与账号体系，注册前先看自己在用哪个。下载页为动态渲染，请以页面按钮为准，不要从来路不明的 “Trae 破解版” 站点获取。"
"Cursor","https://cursor.com/","https://cursor.com/download","AI 优先的代码编辑器，同样基于 VS Code 内核，对话改代码的体验成熟。免费版有请求额度限制，学生可申请教育优惠。注意官方域名是 cursor.com，搜索时排在前面的一些同名站点是模板或导航站。"
"Git","https://git-scm.com","https://github.com/git-for-windows/git/releases/latest","版本控制工具的 Windows 官方移植。当前最新为 v2.55.0.windows.5。这个 releases/latest 地址永远跳转到最新版本页，不会因版本更新而失效。初学者常在 “Git 官网” 搜到中文镜像站并被引导安装额外软件，请只认 git-scm.com 与 github.com/git-for-windows。"
"Node.js","https://nodejs.org","https://nodejs.org/dist/latest-v22.x/node-v22.23.2-x64.msi","JavaScript 运行时，前端工程化、各种命令行工具都依赖它。强烈建议下载 LTS 长期支持版而不是首页默认推荐的 Current 版，后者生命周期短、生态兼容差。这个直链是 v22 LTS 系列的最新补丁版安装包。安装后执行 node -v 和 npm -v 验证。"
"Eclipse Temurin JDK","https://adoptium.net/temurin/releases/","https://adoptium.net/temurin/releases/","最主流的开源 Java 开发包（JDK）发行版，由 Adoptium 社区维护，是过去 Oracle OpenJDK 构建的事实替代者。学 Java 选它基本不会错。注意区分：Temurin 免费可商用，Oracle JDK 的生产环境使用需要订阅授权，搜 “JDK 下载” 很容易进到 Oracle 的授权页。"
"Docker Desktop","https://www.docker.com/products/docker-desktop/","https://www.docker.com/products/docker-desktop/","在本地跑容器和容器镜像的图形化桌面应用，学后端、部署、复现别人项目时常用。企业使用有付费要求，个人与小团队免费。注意它默认会尝试启用 WSL 2 后端，Windows 上需要先按提示开启虚拟化。"
"PostgreSQL","https://www.postgresql.org/download/","https://www.postgresql.org/download/","功能最强的开源关系型数据库，文档与生态极好，学 SQL 和做项目都够用一辈子。Windows 安装包由官方合作的 EDB 提供，安装过程会设置超级用户密码和端口，请记住这两项。不要从下载站获取，那些版本常被改动过。"
"Anaconda","https://www.anaconda.com/download","https://www.anaconda.com/download","Python 科学计算发行版，自带 conda 包管理器和大量数据科学库，避免了逐个装包时的依赖冲突。安装包体积大（数 GB），磁盘紧张时可只装 Miniforge 并用 conda 按需装包。注意它的商用许可近年有调整，企业环境需看清条款。"
"Ollama","https://ollama.com","https://ollama.com/download/OllamaSetup.exe","在本地一键运行开源大模型的命令行工具，支持 Windows / macOS / Linux。这个直链是版本无关的官方安装器。想在自己机器上跑对话模型、又不想配置环境，它是最省事的入门路径。注意模型文件动辄数 GB，且对内存和显存有要求。"
"LM Studio","https://lmstudio.ai","https://lmstudio.ai/download","图形界面的本地大模型运行时，内置模型检索和 OpenAI 兼容的本地服务接口，适合不想碰命令行的初学者。免费但闭源，商用条款与开源替代品不同。请从官方域名下载，各类 “LM Studio 中文版” 均为二次打包。"
